"last_name, first_name","player_id","year","p_formatted_ip","k_percent","bb_percent","woba","xwoba","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","ff_avg_speed","ff_avg_break_z","sl_avg_speed","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_break_x","cu_avg_break_z","si_avg_speed","si_avg_break_x","si_avg_break_z","fc_avg_speed","fc_avg_break_x","fc_avg_break_z","fs_avg_speed","fs_avg_break_x","fs_avg_break_z","st_avg_speed","st_avg_break_x","st_avg_break_z","sv_avg_speed","sv_avg_break_x","sv_avg_break_z"
"Hendricks, Kyle",543294,2024,"130.2",15.3,7.6,".339",".336",7.4,33.4,"73.587198843","93.098027796",18.9,46.2,"87.7","-21",,,,"80.9","2170","-10.6","-33.4","74.3","14.9","-60.5","87.6","-13.4","-28.3",,,,,,,,,,,,
"Valdez, Framber",664285,2024,"176.1",24,7.8,".272",".287",5.3,45,"80.000726364","94.620557662",27.2,45,"94.8","-25.1","85.1","-3","-39.6","89.9","1677","14.8","-33.2","79.7","-11.1","-58.3","94.1","16.5","-24.8",,,,,,,,,,,,
"Gibson, Kyle",502043,2024,"169.2",20.9,9.4,".323",".338",9.2,39.1,"76.558654534","94.071640304",25.9,42.9,"91.4","-16.7",,,,"84.9","1712","-12.7","-33.2","78.3","6.4","-54.1","90.7","-13.2","-25.6","88.6","2.7","-25.9",,,,"80.7","12.5","-42.5",,,
"Burnes, Corbin",669203,2024,"194.1",23.1,6.1,".273",".284",6.7,31.6,"76.693803832","93.206229159",28.6,48.8,"96.3","-20.7","87.6","8.3","-36.7","89.2","2037","-14.1","-27.5","80.3","10","-55.6","97","-12.2","-18.7","95.3","2.4","-17.5",,,,"84.2","17","-39.7",,,
"Ryan, Joe",657746,2024,"135.0",27.3,4.3,".282",".264",8.5,36.6,"77.148522833","93.914347298",26.6,50.9,"94","-17.2","87.1","2.7","-31.5",,,,,,,,"92.9","-15.7","-24.3",,,,"88.5","-14.3","-34.8","81.3","15","-39.2",,,
"Ober, Bailey",641927,2024,"178.2",26.9,6.1,".282",".279",8.3,34.3,"76.699154464","93.270078151",29,52.4,"91.7","-15.7","86.2","3.6","-30.1","83.4","2038","-17","-33.7","76.1","8.3","-56.3",,,,,,,,,,"80.3","12.3","-44.7",,,
"Spence, Mitch",687765,2024,"151.1",19.4,6.8,".340",".314",8.4,41.7,"78.960464768","94.185021142",22.5,50.6,,,"84.3","14.8","-39.4","88.4","1449","-8.9","-31.4","80.4","11.3","-56","91.9","-8.2","-27.4","90.7","3.8","-27.4",,,,,,,,,
"Keller, Mitch",656605,2024,"178.0",21.5,6.5,".331",".320",7.2,39.3,"77.859026134","94.078079089",21.5,47.6,"94.5","-16.2","87.5","4.7","-34.6","89.8","2082","-16","-30.4","78.4","13.4","-58","93.3","-14.8","-22.9","90.4","3","-25.6",,,,"82.9","17.5","-40.1",,,
"Estes, Joey",683155,2024,"127.2",16.9,5,".333",".324",9.7,39.6,"79.114875902","94.154264829",19.2,55.5,"92.4","-15.5","81.7","5.6","-40.6","84.8","1661","-14.6","-29.3",,,,"90.7","-15.2","-20.6","86.4","3.8","-29.9",,,,"78.2","15.5","-38.9",,,
"López, Pablo",641154,2024,"185.1",25.6,5.3,".306",".297",8.2,37.5,"76.717040308","93.587928673",27,51.8,"95","-15.7",,,,"88.5","2108","-16.8","-28.3","82.4","6.6","-51","94.5","-13.8","-22.2",,,,,,,"84.5","12.7","-38.8",,,
